n,central_catalecticant,generalized_koszul,shadow_removal,glynn_upper,certificate_m,certificate_derivative_order,certificate_removed_terms,method
3,3,4,4,4,2,,0,generalized-first-koszul
4,6,7,7,8,2,,0,generalized-first-koszul
5,10,11,11,16,3,,0,generalized-first-koszul
6,20,21,22,32,3,1,1,koszul-plus-shadow-removal
7,35,36,37,64,3,1,2,koszul-plus-shadow-removal
8,70,71,72,128,4,1,1,koszul-plus-shadow-removal
9,126,127,128,256,4,1,2,koszul-plus-shadow-removal
10,252,253,255,512,5,1,2,koszul-plus-shadow-removal
11,462,463,466,1024,5,2,4,koszul-plus-shadow-removal
12,924,925,928,2048,6,2,3,koszul-plus-shadow-removal
13,1716,1718,1721,4096,6,2,5,koszul-plus-shadow-removal
14,3432,3434,3438,8192,7,2,4,koszul-plus-shadow-removal
15,6435,6440,6444,16384,8,2,4,koszul-plus-shadow-removal
16,12870,12875,12881,32768,8,2,6,koszul-plus-shadow-removal
17,24310,24324,24329,65536,9,2,5,koszul-plus-shadow-removal
18,48620,48634,48642,131072,9,2,8,koszul-plus-shadow-removal
19,92378,92417,92424,262144,10,2,7,koszul-plus-shadow-removal
20,184756,184795,184807,524288,10,3,12,koszul-plus-shadow-removal
21,352716,352828,352838,1048576,11,3,10,koszul-plus-shadow-removal
22,705432,705544,705561,2097152,11,3,17,koszul-plus-shadow-removal
23,1352078,1352412,1352427,4194304,12,3,15,koszul-plus-shadow-removal
24,2704156,2704490,2704513,8388608,12,3,23,koszul-plus-shadow-removal
25,5200300,5201321,5201342,16777216,13,3,21,koszul-plus-shadow-removal
26,10400600,10401622,10401656,33554432,13,4,34,koszul-plus-shadow-removal
27,20058300,20061484,20061513,67108864,14,4,29,koszul-plus-shadow-removal
28,40116600,40119788,40119836,134217728,14,4,48,koszul-plus-shadow-removal
29,77558760,77568858,77568900,268435456,15,4,42,koszul-plus-shadow-removal
30,155117520,155127630,155127697,536870912,15,4,67,koszul-plus-shadow-removal
31,300540195,300572689,300572748,1073741824,16,4,59,koszul-plus-shadow-removal
32,601080390,601112918,601113012,2147483648,16,5,94,koszul-plus-shadow-removal
33,1166803110,1166909019,1166909099,4294967296,17,4,80,koszul-plus-shadow-removal
34,2333606220,2333712226,2333712363,8589934592,17,5,137,koszul-plus-shadow-removal
35,4537567650,4537916772,4537916889,17179869184,18,5,117,koszul-plus-shadow-removal
36,9075135300,9075484707,9075484901,34359738368,18,5,194,koszul-plus-shadow-removal
37,17672631900,17673794489,17673794657,68719476736,19,5,168,koszul-plus-shadow-removal
38,35345263800,35346427239,35346427508,137438953472,19,5,269,koszul-plus-shadow-removal
39,68923264410,68927171380,68927171614,274877906944,20,5,234,koszul-plus-shadow-removal
40,137846528820,137850438362,137850438753,549755813888,20,6,391,koszul-plus-shadow-removal
41,269128937220,269142175826,269142176160,1099511627776,21,6,334,koszul-plus-shadow-removal
42,538257874440,538271120930,538271121491,2199023255552,21,6,561,koszul-plus-shadow-removal
43,1052049481860,1052094678629,1052094679111,4398046511104,22,6,482,koszul-plus-shadow-removal
44,2104098963720,2104144184958,2104144185746,8796093022208,22,6,788,koszul-plus-shadow-removal
45,4116715363800,4116870728606,4116870729289,17592186044416,23,6,683,koszul-plus-shadow-removal
46,8233430727600,8233586169202,8233586170324,35184372088832,23,7,1122,koszul-plus-shadow-removal
47,16123801841550,16124339282139,16124339283094,70368744177664,24,7,955,koszul-plus-shadow-removal
48,32247603683100,32248141367197,32248141368823,140737488355328,24,7,1626,koszul-plus-shadow-removal
49,63205303218876,63207173138328,63207173139722,281474976710656,25,7,1394,koszul-plus-shadow-removal
50,126410606437752,126412477136637,126412477138950,562949953421312,25,7,2313,koszul-plus-shadow-removal
