n,output_degree,complementary_degree,witness,witness_numerator,witness_denominator,local_koszul_bound,global_koszul_bound,fixed_terms,complementary_intersection_cap,permanent_koszul_rank,chow_term_koszul_cap,residual_koszul_rank_floor,residual_term_count,lower_bound
4,2,2,88545595/31164492,88545595,31164492,7,7,2,6,560,92,464,6,8
5,2,3,4091533189/1000000000,4091533189,1000000000,10,11,4,19,2400,240,1925,9,13
6,3,3,2287212075/511643399,2287212075,511643399,21,21,4,40,14175,705,12735,19,23
7,3,4,763202471/125000000,763202471,125000000,35,36,13,274,58800,1680,45374,28,41
8,4,4,4935666310/766421433,4935666310,766421433,71,71,12,496,310464,4424,278720,64,76
9,4,5,8079701609/1000000000,8079701609,1000000000,126,127,43,3607,1270080,10080,977913,98,141
10,5,5,2096245339/247164687,2096245339,247164687,253,253,42,7084,6306300,24990,5597900,225,267
11,5,6,1273671439/125000000,1273671439,125000000,462,463,175,60479,25613280,55440,18295321,331,506
12,6,6,8958427664/841291077,8958427664,841291077,925,925,179,125640,122316480,132264,104224320,789,968
13,6,7,6114200309/500000000,6114200309,500000000,1716,1718,668,907508,494702208,288288,341333356,1185,1853
14,7,7,10940892262/866863999,10940892262,866863999,3434,3434,623,1673882,2299592295,669669,1971511423,2945,3568
15,7,8,1775481187/125000000,1775481187,125000000,6435,6440,2388,12460405,9275666400,1441440,6472075275,4491,6879
16,8,8,4018217454/273901939,4018217454,273901939,12875,12875,2422,25470785,42272172800,3283280,35751651840,10890,13312
